ADDRESS,BUILDING COMPANY NAME
318 JEFFERSON ST, BROOKLYN, NY 11237,TOVI G LLC
262 JEFFERSON ST, BROOKLYN, NY 11237,PROSPECT FALLS LLC
195 WYCKOFF AVE, BROOKLYN, NY 11237,195 WYCKOFF ASSOCIATES LLC
136 WYCKOFF AVE, BROOKLYN, NY 11237,136 WYCKOFF ASSOCIATES LLC
611 WILSON AVE, BROOKLYN, NY 11207,611 WILSON ASS C LLC C/O VESPER HOLDINGS
94 CENTRAL AVE, BROOKLYN, NY 11206,JTB 94 CENTRAL LLC
1430 PUTNAM AVE, BROOKLYN, NY 11237,BORO EQUITIES LLC
209 TAAFFE PLACE, BROOKLYN, NY 11205,209 TAAFFE REALTY LLC
24 HAVEMEYER ST, BROOKLYN, NY 11211,24 HAVEMEYER LLC
132 MESEROLE ST, BROOKLYN, NY 11206,132 MESEROLE REALTY LLC
95 SOUTH 2ND ST, BROOKLYN, NY 11249,95 SOUTH 2ND REALTY LLC
29 BEAVER ST, BROOKLYN, NY 11206,BEAVER RESIDENCE LLC
95 HIMROD ST, BROOKLYN, NY 11221,JTB 95 HIMROD LLC
226 MONTROSE AVE, BROOKLYN, NY 11206,HANSA CAPITAL LLC
57 ORIENT AVE, BROOKLYN, NY 11211,59 ORIENT LLC
59 ORIENT AVE, BROOKLYN, NY 11211,59 ORIENT LLC
797 PUTNAM AVE, BROOKLYN, NY 11221,BORO REALTY LLC
839 HALSEY ST, BROOKLYN, NY 11233,QPR HOLDINGS LLC
910 A GREENE AVE, BROOKLYN, NY 11221,1166 EAST 105TH ST LLC
1161 GATES AVE BROOKLYN, NY 11221,ME GATES LLC
970 ST MARKS AVE, BROOKLYN, NY 11213,970 ACHDUS REALTY LLC
64 ST JAMES PL, BROOKLYN, NY 11238,64 ST JAMES REALTY LLC
959 BEDFORD AVE, BROOKLYN, NY 11205,182 REALTY LLC
64 ST JAMES PL, BROOKLYN, NY 11238,64 ST JAMES REALTY LLC
1209 BUSHWICK AVE, BROOKLYN, NY 11221,BUSHWICK PROPERTIES, LLC
228 SOUTH ST, BROOKLYN, NY 11211,228 SOUTH 3RD RLTY CORP
126 GRAHAM AVE, BROOKLYN, NY 11206,126-128 GRAHAM CORP
95 SEIGEL ST, BROOKLYN, NY 11206,95 SEIGEL LLC
322 RODNEY ST, BROOKLYN, NY 11211,322 RODNEY STREET LLC
213 UNION AVE, BROOKLYN, NY 11211,213 UNION REALTY LLC
77 DIVISION AVE, BROOKLYN, NY 11249,77 DIVISION AVE LLC
300 SOUTH 3RD ST, BROOKLYN, NY 11211,300 SOUTH REALTY CORP
134 BOERUM ST, BROOKLYN, NY 11206,BITOCHEN RLTY CORP L
100 BROADWAY, BROOKLYN, NY 11249,405 BEDFORD AVE DEVELOPMENT CORP
280 CROWN ST, BROOKLYN, NY 11225,280 CROWN ST LLC
